window,stakeFraction,fillBumpCents,slippagePct,endingBalance,roiPct,maxDrawdownPct,executed,blocked,wins,losses,winRatePct,halt_globalStop,halt_cooldown,halt_circuitBreaker,halt_floor,halt_ruin,halt_riskEnvelope,halt_minOrder,halt_miss
1w,0.05,0,0,7.605523623314588,52.11047246629177,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,1,0,7.461999477792047,49.23998955584095,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,2,0,7.322133659778807,46.442673195576134,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,3,0,7.1857693086309,43.715386172618,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,4,0,7.052756669973974,41.05513339947947,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,5,0,6.922952660449565,38.45905320899129,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,6,0,6.796220464088671,35.92440928177343,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,7,0,6.672429157661501,33.44858315323002,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,8,0,6.551453362603501,31.029067252070032,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,9,0,6.4331729213424005,28.66345842684801,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,10,0,6.31747259605228,26.349451921045596,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,0,0.01,7.494854565219123,49.897091304382464,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,1,0.01,7.352765112177266,47.05530224354533,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,2,0.01,7.214282433775775,44.2856486755155,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,3,0.01,7.079250679719502,41.58501359439004,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,4,0.01,6.947521035623803,38.95042071247605,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,5,0.01,6.818951292070264,36.37902584140528,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,6,0.01,6.693405444976571,33.86810889953143,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,7,0.01,6.570753324655669,31.415066493113386,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,8,0.01,6.450870251188066,29.017405023761324,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,9,0.01,6.333636713953555,26.672734279071104,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,10,0.01,6.2189380733679265,24.37876146735853,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,0,0.02,7.386366531915863,47.72733063831726,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,1,0.02,7.245671974301842,44.913439486036836,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,2,0.02,7.108532920261174,42.170658405223485,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,3,0.02,6.974794493834913,39.49588987669826,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,4,0.02,6.844308785995102,36.886175719902035,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,5,0.02,6.716934427925449,34.33868855850898,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,6,0.02,6.592536195309122,31.85072390618243,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,7,0.02,6.470984641024602,29.41969282049204,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,8,0.02,6.352155753896679,27.04311507793358,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,9,0.02,6.235930641370031,24.718612827400612,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,10,0.02,6.12219523417007,22.443904683401392,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,0,0,7.605523623314588,52.11047246629177,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,1,0,7.461999477792047,49.23998955584095,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,2,0,7.322133659778807,46.442673195576134,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,3,0,7.1857693086309,43.715386172618,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,4,0,7.052756669973974,41.05513339947947,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,5,0,6.922952660449565,38.45905320899129,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,6,0,6.796220464088671,35.92440928177343,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,7,0,6.672429157661501,33.44858315323002,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,8,0,6.551453362603501,31.029067252070032,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,9,0,6.4331729213424005,28.66345842684801,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,10,0,6.31747259605228,26.349451921045596,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,0,0.01,7.494854565219123,49.897091304382464,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,1,0.01,7.352765112177266,47.05530224354533,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,2,0.01,7.214282433775775,44.2856486755155,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,3,0.01,7.079250679719502,41.58501359439004,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,4,0.01,6.947521035623803,38.95042071247605,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,5,0.01,6.818951292070264,36.37902584140528,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,6,0.01,6.693405444976571,33.86810889953143,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,7,0.01,6.570753324655669,31.415066493113386,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,8,0.01,6.450870251188066,29.017405023761324,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,9,0.01,6.333636713953555,26.672734279071104,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,10,0.01,6.2189380733679265,24.37876146735853,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,0,0.02,7.386366531915863,47.72733063831726,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,1,0.02,7.245671974301842,44.913439486036836,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,2,0.02,7.108532920261174,42.170658405223485,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,3,0.02,6.974794493834913,39.49588987669826,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,4,0.02,6.844308785995102,36.886175719902035,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,5,0.02,6.716934427925449,34.33868855850898,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,6,0.02,6.592536195309122,31.85072390618243,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,7,0.02,6.470984641024602,29.41969282049204,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,8,0.02,6.352155753896679,27.04311507793358,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,9,0.02,6.235930641370031,24.718612827400612,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,10,0.02,6.12219523417007,22.443904683401392,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,0,0,7.654460550314033,53.08921100628066,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,1,0,7.494487566940095,49.8897513388019,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,2,0,7.343057679321499,46.861153586429985,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,3,0,7.197046075737807,43.94092151475615,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,4,0,7.05786839558723,41.15736791174459,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,5,0,6.923716317696647,38.474326353932945,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,6,0,6.796220464088671,35.92440928177343,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,7,0,6.672429157661501,33.44858315323002,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,8,0,6.551453362603501,31.029067252070032,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,9,0,6.4331729213424005,28.66345842684801,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,10,0,6.31747259605228,26.349451921045596,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,0,0.01,7.53096994756448,50.6193989512896,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,1,0.01,7.376001940395091,47.52003880790182,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,2,0.01,7.227487055797012,44.54974111594024,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,3,0.01,7.0853101483212555,41.70620296642511,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,4,0.01,6.949062236999887,38.98124473999774,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,5,0.01,6.818951292070264,36.37902584140528,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,6,0.01,6.693405444976571,33.86810889953143,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,7,0.01,6.570753324655669,31.415066493113386,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,8,0.01,6.450870251188066,29.017405023761324,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,9,0.01,6.333636713953555,26.672734279071104,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,10,0.01,6.2189380733679265,24.37876146735853,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,0,0.02,7.412202507969969,48.24405015939938,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,1,0.02,7.2610528545214486,45.22105709042897,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,2,0.02,7.11566650177537,42.3133300355074,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,3,0.02,6.977222307957527,39.544446159150546,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,4,0.02,6.844308785995102,36.886175719902035,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,5,0.02,6.716934427925449,34.33868855850898,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,6,0.02,6.592536195309122,31.85072390618243,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,7,0.02,6.470984641024602,29.41969282049204,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,8,0.02,6.352155753896679,27.04311507793358,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,9,0.02,6.235930641370031,24.718612827400612,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,10,0.02,6.12219523417007,22.443904683401392,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.2,0,0,8.296359955852541,65.92719911705082,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.2,1,0,8.07401694005795,61.48033880115899,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.2,2,0,7.862450423581479,57.24900847162958,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.2,3,0,7.660936642874584,53.21873285749168,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.2,4,0,7.468809843867726,49.37619687735452,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.2,5,0,7.285456826068547,45.70913652137094,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.2,6,0,7.110312071032611,42.206241420652226,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.2,7,0,6.942853385479959,38.85706770959917,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.2,8,0,6.782597998472923,35.65195996945846,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.2,9,0,6.6290990599102875,32.58198119820575,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.2,10,0,6.481942494330221,29.638849886604422,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.2,0,0.01,8.124410577968824,62.48821155937648,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.2,1,0.01,7.90832929200695,58.16658584013901,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.2,2,0.01,7.702661177390946,54.05322354781893,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.2,3,0.01,7.506707839073995,50.1341567814799,0,9,0,9,0,100,0,0,0,0,0,0,0,0
