window,stakeFraction,fillBumpCents,slippagePct,endingBalance,roiPct,maxDrawdownPct,executed,blocked,wins,losses,winRatePct,halt_globalStop,halt_cooldown,halt_circuitBreaker,halt_floor,halt_ruin,halt_riskEnvelope,halt_minOrder,halt_miss
1w,0.1,0,0,15.17089809437532,203.4179618875064,20.226594374999998,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,1,0,14.395085596349437,187.90171192698875,20.211235624999997,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,2,0,13.678197985957386,173.5639597191477,20.196171874999997,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,3,0,13.015347382591028,160.30694765182054,20.181433124999995,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,4,0,12.396099536019037,147.92199072038073,20.167049375,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,5,0,11.819668608862266,136.3933721772453,20.153050624999995,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,6,0,11.28201633113377,125.64032662267539,20.139466874999997,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,7,0,10.780527142102276,115.61054284204553,20.126328124999997,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,8,0,10.31257015051319,106.25140301026381,20.113664374999995,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,9,0,9.871751932395082,97.43503864790164,20.101505624999998,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,10,0,9.443248537864497,88.86497075728992,20.089881875,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,0,0.01,14.583446462604956,191.6689292520991,20.214972386406878,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,1,0.01,13.84557647454975,176.911529490995,20.19968375292312,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,2,0.01,13.16348925646968,163.2697851293936,20.184719460234373,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,3,0.01,12.52872310024659,150.5744620049318,20.17011041737062,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,4,0.01,11.937216186665532,138.74432373331064,20.155887533361874,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,5,0.01,11.387104849871449,127.74209699742897,20.14208171723812,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,6,0.01,10.873372084938806,117.46744169877613,20.12872387802938,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,7,0.01,10.39447569083288,107.88951381665761,20.11584492476563,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,8,0.01,9.945625923150075,98.9125184630015,20.103475766476873,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,9,0.01,9.511189756808118,90.22379513616237,20.09164731219313,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,10,0.01,9.086523473716202,81.73046947432404,20.08039047094437,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,0,0.02,14.029369352053282,180.58738704106563,20.203514365505004,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,1,0.02,13.326439856203171,166.52879712406343,20.188317953134998,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,2,0.02,12.675351388523827,153.50702777047655,20.173476213125003,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,3,0.02,12.068728262386784,141.3745652477357,20.159020981715,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,4,0.02,11.503784928904594,130.07569857809187,20.144984095145002,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,5,0.02,10.97745755841191,119.54915116823818,20.131397389655,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,6,0.02,10.487148285276197,109.74296570552393,20.118292701484997,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,7,0.02,10.028546289401014,100.57092578802028,20.105701866875005,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,8,0.02,9.587930671538908,91.75861343077815,20.093656722065,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,9,0.02,9.157359575834233,83.14719151668466,20.082189103295,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.1,10,0.02,8.73639160088265,74.727832017653,20.071330846805004,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.15,0,0,20.216845057946106,304.33690115892216,20.226594374999998,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.15,1,0,18.711093268788485,274.2218653757697,20.211235624999997,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.15,2,0,17.350229840680893,247.00459681361787,20.196171874999997,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.15,3,0,16.11555243083082,222.31104861661643,20.181433124999995,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.15,4,0,14.998030151140602,199.96060302281205,20.167049375,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.15,5,0,13.978525576792034,179.57051153584067,20.153050624999995,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.15,6,0,13.048787874055513,160.97575748111026,20.139466874999997,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.15,7,0,12.201164323996156,144.02328647992312,20.126328124999997,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.15,8,0,11.424445105437457,128.48890210874913,20.113664374999995,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.15,9,0,10.711225643581702,114.22451287163405,20.101505624999998,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.15,10,0,10.057558164810468,101.15116329620935,20.089881875,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.15,0,0.01,19.074777497001655,281.49554994003313,20.214972386406878,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.15,1,0.01,17.664373113851575,253.2874622770315,20.19968375292312,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.15,2,0.01,16.39014901996243,227.8029803992486,20.184719460234373,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.15,3,0.01,15.235543143834166,204.7108628766833,20.17011041737062,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.15,4,0.01,14.184211591445573,183.68423182891144,20.155887533361874,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.15,5,0.01,13.228331534400484,164.56663068800967,20.14208171723812,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.15,6,0.01,12.35720278693955,147.14405573879102,20.12872387802938,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.15,7,0.01,11.559693176979163,131.19386353958328,20.11584492476563,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
1w,0.15,8,0.01,10.828055580496814,116.56111160993628,20.103475766476873,33,2,32,1,96.96969696969697,2,0,0,0,0,0,0,0
