window,stakeFraction,fillBumpCents,slippagePct,endingBalance,roiPct,maxDrawdownPct,executed,blocked,wins,losses,winRatePct,halt_globalStop,halt_cooldown,halt_circuitBreaker,halt_floor,halt_ruin,halt_riskEnvelope,halt_minOrder,halt_miss
1w,0.05,0,0,19.150620451756524,91.50620451756524,10.113297187499999,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,1,0,18.616966219984587,86.16966219984586,10.105617812500007,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,2,0,18.097352633907818,80.97352633907818,10.098085937499999,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,3,0,17.591170398804696,75.91170398804697,10.090716562500006,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,4,0,17.097838681048593,70.97838681048593,10.08352468750001,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,5,0,16.61680331867886,66.16803318678859,10.076525312500006,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,6,0,16.14753516555491,61.47535165554909,10.069733437499995,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,7,0,15.689528557580601,56.89528557580601,10.063164062500007,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,8,0,15.24229989060808,52.42299890608081,10.056832187500007,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,9,0,14.805386300631021,48.05386300631021,10.050752812500008,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,10,0,14.3783444377702,43.78344437770201,10.044940937500009,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,0,0.01,18.748514295466045,87.48514295466045,10.107486193203439,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,1,0.01,18.220276047107127,82.20276047107127,10.099841876461557,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,2,0.01,17.70588643774262,77.0588643774262,10.092359730117195,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,3,0.01,17.204740215273496,72.04740215273496,10.085055208685318,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,4,0.01,16.71626030690263,67.16260306902629,10.077943766680946,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,5,0.01,16.23989604742291,62.398960474229106,10.07104085861906,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,6,0.01,15.775121539765964,57.751215397659635,10.064361939014681,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,7,0.01,15.32143413641234,53.2143413641234,10.057922462382809,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,8,0.01,14.878353031375568,48.783530313755676,10.051737883238445,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,9,0.01,14.445417953462739,44.45417953462739,10.045823656096555,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,10,0.01,14.02218795239889,40.22187952398889,10.040195235472194,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,0,0.02,18.354391125193693,83.54391125193693,10.101757182752493,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,1,0.02,17.83142395626706,78.3142395626706,10.094158976567496,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,2,0.02,17.322114607640685,73.22114607640685,10.086738106562496,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,3,0.02,16.825861731164096,68.25861731164096,10.079510490857508,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,4,0.02,16.342091881721103,63.42091881721104,10.07249204757251,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,5,0.02,15.870257762887606,58.702577628876064,10.065698694827496,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,6,0.02,15.409836603553313,54.09836603553313,10.059146350742498,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,7,0.02,14.960328654220108,49.60328654220108,10.052850933437494,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,8,0.02,14.521255792790205,45.212557927902054,10.046828361032496,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,9,0.02,14.092160230637838,40.921602306378375,10.0410945516475,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.05,10,0.02,13.672603310634448,36.72603310634449,10.035665423402502,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,0,0,24.615662135331515,146.15662135331516,10.113297187499999,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,1,0,23.3706889497578,133.70688949757798,10.105617812500007,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,2,0,22.21819470137581,122.1819470137581,10.098085937499999,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,3,0,21.149391920764785,111.49391920764783,10.090716562500006,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,4,0,20.155123804436162,101.55123804436161,10.08352468750001,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,5,0,19.228755832666053,92.28755832666053,10.076525312500006,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,6,0,18.364812529085185,83.64812529085185,10.069733437499995,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,7,0,17.55902903929518,75.5902903929518,10.063164062500007,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,8,0,16.80462785217206,68.04627852172061,10.056832187500007,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,9,0,16.097902230852345,60.97902230852345,10.050752812500008,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,10,0,15.436322820782518,54.36322820782517,10.044940937500009,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,0,0.01,23.671760311607837,136.71760311607838,10.107486193203439,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,1,0.01,22.485295004744994,124.85295004744994,10.099841876461557,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,2,0.01,21.38710820860216,113.87108208602162,10.092359730117195,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,3,0.01,20.36661865751851,103.66618657518512,10.085055208685318,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,4,0.01,19.41681675267959,94.16816752679591,10.077943766680946,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,5,0.01,18.531436122707976,85.31436122707976,10.07104085861906,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,6,0.01,17.70694461011139,77.0694461011139,10.064361939014681,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,7,0.01,16.93577593427315,69.3577593427315,10.057922462382809,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,8,0.01,16.213484078937253,62.134840789372525,10.051737883238445,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,9,0.01,15.53845890986302,55.38458909863021,10.045823656096555,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,10,0.01,14.90409311007481,49.04093110074809,10.040195235472194,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,0,0.02,22.780453065133365,127.80453065133366,10.101757182752493,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,1,0.02,21.650174226772922,116.50174226772923,10.094158976567496,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,2,0.02,20.601274745908906,106.01274745908907,10.086738106562496,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,3,0.02,19.626093950250336,96.26093950250336,10.079510490857508,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,4,0.02,18.718008116902304,87.18008116902304,10.07249204757251,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,5,0.02,17.87273965927463,78.72739659274629,10.065698694827496,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,6,0.02,17.083432355154432,70.83432355154432,10.059146350742498,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,7,0.02,16.344786253800507,63.447862538005076,10.052850933437494,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,8,0.02,15.654703462354872,56.54703462354872,10.046828361032496,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,9,0.02,15.007225999333157,50.07225999333157,10.0410945516475,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.1,10,0.02,14.398466455293631,43.984664552936316,10.035665423402502,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.15,0,0,37.5695097653622,275.695097653622,15.169945781250007,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.15,1,0,34.80518060064967,248.05180600649672,15.158426718749993,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.15,2,0,32.3033904492407,223.033904492407,15.147128906250007,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.15,3,0,30.034187456228306,200.34187456228304,15.136074843750007,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.15,4,0,27.971533265709166,179.71533265709166,15.125287031249995,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.15,5,0,26.092732084378575,160.92732084378576,15.11478796875,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.15,6,0,24.37795115927683,143.7795115927683,15.104600156250001,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.15,7,0,22.80981680987094,128.0981680987094,15.094746093749995,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.15,8,0,21.373073107429164,113.73073107429164,15.08524828125001,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.15,9,0,20.05429266198289,100.54292661982889,15.076129218749996,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.15,10,0,18.841630881912057,88.41630881912057,15.067411406249995,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.15,0,0.01,35.46702416950582,254.6702416950582,15.161229289805151,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.15,1,0.01,32.87840402622224,228.78404026222242,15.149762814692345,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.15,2,0.01,30.533980240455122,205.33980240455122,15.138539595175777,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.15,3,0.01,28.40603463140655,184.0603463140655,15.12758281302798,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.15,4,0.01,26.470455071976378,164.70455071976377,15.1169156500214,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.15,5,0.01,24.70621139716858,147.0621139716858,15.1065612879286,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.15,6,0.01,23.094914943527026,130.94914943527027,15.09654290852204,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
1w,0.15,7,0.01,21.62044725434259,116.2044725434259,15.08688369357422,33,0,32,1,96.96969696969697,0,0,0,0,0,0,0,0
